CODI_DIVISIO_TERRITORIAL;CDINE;NACIONALITAT;NRE_HOMES;NRE_DONES
S-09052;321;HONDURES;5;5
S-09052;NULL;ALTRES;19;9
S-09053;137;MOLDAVIA;6;4
S-09053;228;MARROC;12;10
S-09053;108;ESPANYA;498;498
S-09053;426;PAKISTAN;21;18
S-09053;148;ARMENIA;4;5
S-09053;NULL;ALTRES;32;37
S-09053;128;ROMANIA;4;3
S-09053;345;EQUADOR;6;5
S-09053;135;UCRAINA;3;3
S-09053;342;BRASIL;4;4
S-09053;407;XINA;6;5
S-09054;228;MARROC;8;7
S-09054;NULL;ALTRES;31;27
S-09054;407;XINA;16;14
S-09054;123;PORTUGAL;3;4
S-09054;108;ESPANYA;541;536
S-09054;321;HONDURES;3;9
S-09057;104;BULGARIA;3;3
S-09057;407;XINA;19;18
S-09057;139;GEORGIA;5;8
S-09057;410;INDIA;10;7
S-09057;115;ITALIA;4;4
S-09057;NULL;ALTRES;20;23
S-09057;342;BRASIL;4;3
S-09057;345;EQUADOR;5;3
S-09057;228;MARROC;12;15
S-09057;426;PAKISTAN;9;3
S-09057;108;ESPANYA;513;586
S-09058;NULL;ALTRES;40;24
S-09058;228;MARROC;8;4
S-09058;135;UCRAINA;3;5
S-09058;108;ESPANYA;612;635
S-09058;407;XINA;10;15
S-09058;321;HONDURES;3;5
S-09058;341;BOLIVIA;5;6
S-09058;139;GEORGIA;4;7
S-09059;135;UCRAINA;4;3
S-09059;407;XINA;15;14
S-09059;341;BOLIVIA;3;7
S-09059;108;ESPANYA;448;532
S-09059;228;MARROC;22;20
S-09059;NULL;ALTRES;21;12
S-09059;321;HONDURES;4;11
S-09059;426;PAKISTAN;5;3
S-09059;139;GEORGIA;5;9
